ASBID,CATEGORY,PROPERTY,OBJECT,DATATYPE
4B0W1WZO,Feld,FELDNR,0,
4B0W1WZO,Feld,STUETZ_W,0.0,double
4B0W1WZO,Feld,STUETZ_H,1.5,double
4B0W1WZO,Feld,ANZAHL_ST,1,int
4B0W1WZO,Feld,BEMERKUNG,"Widerlager 1
***",text
4B0W1WZO,Feld,BEARB_DAT,2002-08-27 08:34:54.999,dateTime
4B0W1WZO,Feld,BEARBEITER,CODEKERK,text
4B0W1WZO,Feld,BWNR,B115,
4B0W1WZO,Feld,TEIL_BWNR,0,
4B0W1WZO,Feld,ID_NR,B115    0,
4B0W1WZO,Feld,FELD_NR,1,
4B0W1WZO,Feld,REF_FELDER,4B0W1X9W,
4B0W1WZO,Feld,REF_BRUCKE,4B0W1X9V,
4B0W1WZO,Feld,IDENT,4B0W1WZO,
4B0W1WZO,Feld,AMT,533,text
4B0W1WZO,Feld,SCHIFF_OEF,0,
4B0W1WZQ,Feld,ART,40012100000000,
4B0W1WZQ,Feld,FELDNR,2,
4B0W1WZQ,Feld,STUETZ_W,25.0,double
4B0W1WZQ,Feld,STUETZ_H,6.0,double
4B0W1WZQ,Feld,ANZAHL_ST,3,int
4B0W1WZQ,Feld,BEARB_DAT,2002-08-27 08:37:07.000,dateTime
4B0W1WZQ,Feld,BEARBEITER,CODEKERK,text
4B0W1WZQ,Feld,BWNR,B115,
4B0W1WZQ,Feld,TEIL_BWNR,0,
4B0W1WZQ,Feld,ID_NR,B115    0,
4B0W1WZQ,Feld,FELD_NR,2,
4B0W1WZQ,Feld,REF_FELDER,4B0W1X9Y,
4B0W1WZQ,Feld,REF_BRUCKE,4B0W1X9V,
4B0W1WZQ,Feld,IDENT,4B0W1WZQ,
4B0W1WZQ,Feld,AMT,533,text
4B0W1WZQ,Feld,SCHIFF_OEF,0,
4B0W1WZR,Feld,ART,40011100000000,
4B0W1WZR,Feld,FELDNR,3,
4B0W1WZR,Feld,STUETZ_W,18.0,double
4B0W1WZR,Feld,STUETZ_H,1.5,double
4B0W1WZR,Feld,ANZAHL_ST,1,int
4B0W1WZR,Feld,BEMERKUNG,"Widerlager 2
***",text
4B0W1WZR,Feld,BEARB_DAT,2002-08-27 08:37:36.000,dateTime
4B0W1WZR,Feld,BEARBEITER,CODEKERK,text
4B0W1WZR,Feld,BWNR,B115,
4B0W1WZR,Feld,TEIL_BWNR,0,
4B0W1WZR,Feld,ID_NR,B115    0,
4B0W1WZR,Feld,FELD_NR,1,
4B0W1WZR,Feld,REF_FELDER,4B0W1X9Z,
4B0W1WZR,Feld,REF_BRUCKE,4B0W1X9V,
4B0W1WZR,Feld,IDENT,4B0W1WZR,
4B0W1WZR,Feld,AMT,533,text
4B0W1WZR,Feld,SCHIFF_OEF,0,
4B0W1WZP,Feld,ART,40012100000000,
4B0W1WZP,Feld,FELDNR,1,
4B0W1WZP,Feld,STUETZ_W,18.0,double
4B0W1WZP,Feld,STUETZ_H,6.0,double
4B0W1WZP,Feld,ANZAHL_ST,3,int
4B0W1WZP,Feld,BEARB_DAT,2002-08-27 08:36:38.000,dateTime
4B0W1WZP,Feld,BEARBEITER,CODEKERK,text
4B0W1WZP,Feld,BWNR,B115,
4B0W1WZP,Feld,TEIL_BWNR,0,
4B0W1WZP,Feld,ID_NR,B115    0,
4B0W1WZP,Feld,FELD_NR,2,
4B0W1WZP,Feld,REF_FELDER,4B0W1X9X,
4B0W1WZP,Feld,REF_BRUCKE,4B0W1X9V,
4B0W1WZP,Feld,IDENT,4B0W1WZP,
4B0W1WZP,Feld,AMT,533,text
4B0W1WZP,Feld,SCHIFF_OEF,0,
4B0W1X8W,,ID_NR,B115    0,
4B0W1X8W,,BAUTEIL,130011914000000,
4B0W1X8W,,KONTEIL,0,
4B0W1X8W,,ZWGRUPPE,0,
4B0W1X8W,,SCHADEN,130043344000000,
4B0W1X8W,,MENGE_ALL,130053500000000,
4B0W1X8W,,MENGE_DI,0,
4B0W1X8W,,UEBERBAU,130071000000000,
4B0W1X8W,,FELD,0,
4B0W1X8W,,LAENGS,130091300000000,
4B0W1X8W,,QUER,130101100000000,
4B0W1X8W,,HOCH,0,
4B0W1X8W,,BEWERT_D,2,
4B0W1X8W,,BEWERT_V,0,
4B0W1X8W,,BEWERT_S,0,
4B0W1X8W,,S_VERAEND,0,
4B0W1X8W,,BEMERK1,0,text
4B0W1X8W,,BEMERK2,0,text
4B0W1X8W,,BEMERK3,0,text
4B0W1X8W,,BEMERK4,0,text
4B0W1X8W,,BEMERK5,0,text
4B0W1X8W,,BEMERK6,0,text
4B0W1X8W,,BWNR,B115,
4B0W1X8W,,TEIL_BWNR,0,
4B0W1X8W,,IBWNR,B115,
4B0W1X8W,,IDENT,4B0W1X8W,
4B0W1X8W,,AMT,533,text
4B0W1X8W,,PRUFJAHR,2010,year
4B0W1X8W,,PRA,E,
4B0W1X8W,,TEXT, ,text
4B0W1X8W,,BILD,\AUSBRUCH4.JPG,
4B0W1X8W,,KONT_JN,0,
4B0W1X8W,,NOT_KONST,0,
4B0W1X8W,,KONVERT,0,
4B0W1X8W,,SCHAD_ID,128.0,
4B0W1X8W,,BSP_ID,020-99,
4B0W1X8W,,BAUTLGRUP,390021200000000,
4B0W1X8W,,DETAILKONT,0,
4B0W1X8S,,ID_NR,B115    0,
4B0W1X8S,,BAUTEIL,130011151000000,
4B0W1X8S,,KONTEIL,130022510000000,
4B0W1X8S,,ZWGRUPPE,0,
4B0W1X8S,,SCHADEN,130045120000000,
4B0W1X8S,,MENGE_ALL,130052400000000,
4B0W1X8S,,MENGE_DI,0,
4B0W1X8S,,UEBERBAU,130071000000000,
4B0W1X8S,,FELD,0,
4B0W1X8S,,LAENGS,0,
4B0W1X8S,,QUER,0,
4B0W1X8S,,HOCH,0,
4B0W1X8S,,BEWERT_D,2,
4B0W1X8S,,BEWERT_V,0,
4B0W1X8S,,BEWERT_S,0,
4B0W1X8S,,S_VERAEND,130132000000000,
4B0W1X8S,,BEMERK1,0,text
4B0W1X8S,,BEMERK2,0,text
4B0W1X8S,,BEMERK3,0,text
4B0W1X8S,,BEMERK4,0,text
4B0W1X8S,,BEMERK5,0,text
4B0W1X8S,,BEMERK6,0,text
4B0W1X8S,,BWNR,B115,
4B0W1X8S,,TEIL_BWNR,0,
4B0W1X8S,,IBWNR,B115,
4B0W1X8S,,IDENT,4B0W1X8S,
4B0W1X8S,,AMT,533,text
4B0W1X8S,,PRUFJAHR,2010,year
4B0W1X8S,,PRA,E,
4B0W1X8S,,BILD,\RISSE2.JPG,
4B0W1X8S,,KONT_JN,2,
4B0W1X8S,,NOT_KONST,0,
4B0W1X8S,,KONVERT,0,
4B0W1X8S,,SCHAD_ID,87.0,
4B0W1X8S,,BSP_ID,241-99,
4B0W1X8S,,BAUTLGRUP,390022250000000,
4B0W1X8S,,DETAILKONT,0,
4B0W1X6U,,ID_NR,B115    0,
4B0W1X6U,,LFDNR,54.0,
4B0W1X6U,,BAUTEIL,130011912200000,
4B0W1X6U,,KONTEIL,0,
4B0W1X6U,,ZWGRUPPE,0,
4B0W1X6U,,SCHADEN,130047110000000,
4B0W1X6U,,MENGE_ALL,130053200000000,
4B0W1X6U,,MENGE_DI,130066200000000,
4B0W1X6U,,MENGE_DI_M,     2,
4B0W1X6U,,UEBERBAU,130071000000000,
4B0W1X6U,,FELD,130083100000000,
4B0W1X6U,,LAENGS,0,
4B0W1X6U,,QUER,130101300000000,
4B0W1X6U,,HOCH,130113000000000,
4B0W1X6U,,BEWERT_D,1,
4B0W1X6U,,BEWERT_V,0,
4B0W1X6U,,BEWERT_S,0,
4B0W1X6U,,S_VERAEND,0,
4B0W1X6U,,BEMERK1,0,text
4B0W1X6U,,BEMERK2,0,text
4B0W1X6U,,BEMERK3,0,text
4B0W1X6U,,BEMERK4,0,text
4B0W1X6U,,BEMERK5,0,text
4B0W1X6U,,BEMERK6,0,text
4B0W1X6U,,BWNR,B115,
4B0W1X6U,,TEIL_BWNR,0,
4B0W1X6U,,IBWNR,B115,
4B0W1X6U,,IDENT,4B0W1X6U,
4B0W1X6U,,AMT,533,text
4B0W1X6U,,PRUFJAHR,2007,year
4B0W1X6U,,PRA,H,
4B0W1X6U,,TEXT, ,text
4B0W1X6U,,KONT_JN,2,
4B0W1X6U,,NOT_KONST,0,
4B0W1X6U,,KONVERT,0,
4B0W1X6U,,SCHAD_ID,54.0,
4B0W1X6U,,BSP_ID,020-99,
4B0W1X6U,,BAUTLGRUP,390021200000000,
4B0W1X6U,,DETAILKONT,0,
ZO12CWOH,,ID_NR,B115    0,
ZO12CWOH,,BAUTEIL,130011914000000,
ZO12CWOH,,KONTEIL,0,
ZO12CWOH,,ZWGRUPPE,0,
ZO12CWOH,,SCHADEN,130042220000000,
ZO12CWOH,,MENGE_ALL,130051800000000,
ZO12CWOH,,MENGE_DI,0,
ZO12CWOH,,UEBERBAU,130071000000000,
ZO12CWOH,,FELD,0,
ZO12CWOH,,LAENGS,0,
ZO12CWOH,,QUER,0,
ZO12CWOH,,HOCH,0,
ZO12CWOH,,BEWERT_D,0,
ZO12CWOH,,BEWERT_V,0,
ZO12CWOH,,BEWERT_S,0,
ZO12CWOH,,S_VERAEND,0,
ZO12CWOH,,BEMERK1,0,text
ZO12CWOH,,BEMERK2,0,text
ZO12CWOH,,BEMERK3,0,text
ZO12CWOH,,BEMERK4,0,text
ZO12CWOH,,BEMERK5,0,text
ZO12CWOH,,BEMERK6,0,text
ZO12CWOH,,BWNR,B115,
ZO12CWOH,,TEIL_BWNR,0,
ZO12CWOH,,IBWNR,B115,
ZO12CWOH,,IDENT,ZO12CWOH,
ZO12CWOH,,AMT,533,text
ZO12CWOH,,PRUFJAHR,2013,year
ZO12CWOH,,PRA,H,
ZO12CWOH,,TEXT,vorne links und hinten rechts ,text
ZO12CWOH,,KONT_JN,2,
ZO12CWOH,,NOT_KONST,0,
ZO12CWOH,,KONVERT,0,
ZO12CWOH,,SCHAD_ID,62.0,
ZO12CWOH,,BSP_ID,260-99,
ZO12CWOH,,BAUTLGRUP,390021200000000,
ZO12CWOH,,DETAILKONT,0,
XK0R32O8,,ID_NR,B115    0,
XK0R32O8,,BAUTEIL,130011151000000,
XK0R32O8,,KONTEIL,130022121110000,
XK0R32O8,,ZWGRUPPE,0,
XK0R32O8,,SCHADEN,130048123000000,
XK0R32O8,,MENGE_ALL,130051500000000,
XK0R32O8,,MENGE_DI,0,
XK0R32O8,,UEBERBAU,130071000000000,
XK0R32O8,,FELD,0,
XK0R32O8,,LAENGS,0,
XK0R32O8,,QUER,130101100000000,
XK0R32O8,,HOCH,0,
XK0R32O8,,BEWERT_D,0,
XK0R32O8,,BEWERT_V,0,
XK0R32O8,,BEWERT_S,0,
XK0R32O8,,S_VERAEND,0,
XK0R32O8,,BEMERK1,0,text
XK0R32O8,,BEMERK2,0,text
XK0R32O8,,BEMERK3,0,text
XK0R32O8,,BEMERK4,0,text
XK0R32O8,,BEMERK5,0,text
XK0R32O8,,BEMERK6,0,text
XK0R32O8,,BWNR,B115,
XK0R32O8,,TEIL_BWNR,0,
XK0R32O8,,IBWNR,B115,
XK0R32O8,,IDENT,XK0R32O8,
XK0R32O8,,AMT,533,text
XK0R32O8,,PRUFJAHR,2016,year
XK0R32O8,,PRA,E,
XK0R32O8,,TEXT,"h=99 cm, Maßnahme {4}",text
XK0R32O8,,BILD,\GELÄNDERHÖHE 2013.JPG,
XK0R32O8,,KONT_JN,2,
XK0R32O8,,NOT_KONST,0,
XK0R32O8,,KONVERT,0,
XK0R32O8,,SCHAD_ID,73.0,
XK0R32O8,,BSP_ID,231-09,
XK0R32O8,,BAUTLGRUP,390022210000000,
XK0R32O8,,DETAILKONT,0,
MB0ODU3B,,ID_NR,B115    0,
MB0ODU3B,,LFDNR,4.0,
MB0ODU3B,,BAUTEIL,130011920000000,
MB0ODU3B,,KONTEIL,0,
MB0ODU3B,,ZWGRUPPE,130031100000000,
MB0ODU3B,,SCHADEN,130047110000000,
MB0ODU3B,,MENGE_ALL,130053500000000,
MB0ODU3B,,MENGE_DI,0,
MB0ODU3B,,UEBERBAU,130071000000000,
MB0ODU3B,,FELD,130082200000000,
MB0ODU3B,,FELD_M,2.0,
MB0ODU3B,,LAENGS,0,
MB0ODU3B,,QUER,130101200000000,
MB0ODU3B,,HOCH,130111220000000,
MB0ODU3B,,BEWERT_D,1,
MB0ODU3B,,BEWERT_V,0,
MB0ODU3B,,BEWERT_S,0,
MB0ODU3B,,S_VERAEND,0,
MB0ODU3B,,BEMERK1,0,text
MB0ODU3B,,BEMERK2,0,text
MB0ODU3B,,BEMERK3,0,text
MB0ODU3B,,BEMERK4,0,text
MB0ODU3B,,BEMERK5,0,text
MB0ODU3B,,BEMERK6,0,text
MB0ODU3B,,BWNR,B115,
MB0ODU3B,,TEIL_BWNR,0,
MB0ODU3B,,IBWNR,B115,
MB0ODU3B,,IDENT,MB0ODU3B,
MB0ODU3B,,AMT,533,text
MB0ODU3B,,PRUFJAHR,2019,year
MB0ODU3B,,PRA,H,
MB0ODU3B,,TEXT, ,text
MB0ODU3B,,BILD,\BETONABLATZUNG AN EINEM PFEILER.JPG,
MB0ODU3B,,KONT_JN,2,
MB0ODU3B,,NOT_KONST,0,
MB0ODU3B,,KONVERT,0,
MB0ODU3B,,SCHAD_ID,48.0,
MB0ODU3B,,BSP_ID,021-08,
MB0ODU3B,,BAUTLGRUP,390021200000000,
MB0ODU3B,,DETAILKONT,0,
4B0W1X4R,,ID_NR,B115    0,
4B0W1X4R,,BAUTEIL,130011151000000,
4B0W1X4R,,KONTEIL,130022121111000,
4B0W1X4R,,ZWGRUPPE,0,
4B0W1X4R,,SCHADEN,130041410000000,
4B0W1X4R,,MENGE_ALL,130051800000000,
4B0W1X4R,,MENGE_DI,0,
4B0W1X4R,,UEBERBAU,130071000000000,
4B0W1X4R,,FELD,0,
4B0W1X4R,,LAENGS,0,
4B0W1X4R,,QUER,130101300000000,
4B0W1X4R,,HOCH,0,
4B0W1X4R,,BEWERT_D,1,
4B0W1X4R,,BEWERT_V,0,
4B0W1X4R,,BEWERT_S,0,
4B0W1X4R,,S_VERAEND,0,
4B0W1X4R,,BEMERK1,0,text
4B0W1X4R,,BEMERK2,0,text
4B0W1X4R,,BEMERK3,0,text
4B0W1X4R,,BEMERK4,0,text
4B0W1X4R,,BEMERK5,0,text
4B0W1X4R,,BEMERK6,0,text
4B0W1X4R,,BWNR,B115,
4B0W1X4R,,TEIL_BWNR,0,
4B0W1X4R,,IBWNR,B115,
4B0W1X4R,,IDENT,4B0W1X4R,
4B0W1X4R,,AMT,533,text
4B0W1X4R,,PRUFJAHR,2010,year
4B0W1X4R,,PRA,E,
4B0W1X4R,,TEXT,zerkratzt,text
4B0W1X4R,,KONT_JN,0,
4B0W1X4R,,NOT_KONST,0,
4B0W1X4R,,KONVERT,0,
4B0W1X4R,,SCHAD_ID,99.0,
4B0W1X4R,,BSP_ID,231-99,
4B0W1X4R,,BAUTLGRUP,390022210000000,
4B0W1X4R,,DETAILKONT,0,
4B0W1X6Z,,ID_NR,B115    0,
4B0W1X6Z,,LFDNR,59.0,
4B0W1X6Z,,BAUTEIL,130011914000000,
4B0W1X6Z,,KONTEIL,0,
4B0W1X6Z,,ZWGRUPPE,130031100000000,
4B0W1X6Z,,SCHADEN,130044160000000,
4B0W1X6Z,,MENGE_ALL,130052300000000,
4B0W1X6Z,,MENGE_DI,0,
4B0W1X6Z,,UEBERBAU,130071000000000,
4B0W1X6Z,,FELD,130084100000000,
4B0W1X6Z,,LAENGS,0,
4B0W1X6Z,,QUER,130101100000000,
4B0W1X6Z,,HOCH,130113000000000,
4B0W1X6Z,,BEWERT_D,0,
4B0W1X6Z,,BEWERT_V,0,
4B0W1X6Z,,BEWERT_S,0,
4B0W1X6Z,,S_VERAEND,0,
4B0W1X6Z,,BEMERK1,0,text
4B0W1X6Z,,BEMERK2,0,text
4B0W1X6Z,,BEMERK3,0,text
4B0W1X6Z,,BEMERK4,0,text
4B0W1X6Z,,BEMERK5,0,text
4B0W1X6Z,,BEMERK6,0,text
4B0W1X6Z,,BWNR,B115,
4B0W1X6Z,,TEIL_BWNR,0,
4B0W1X6Z,,IBWNR,B115,
4B0W1X6Z,,IDENT,4B0W1X6Z,
4B0W1X6Z,,AMT,533,text
4B0W1X6Z,,PRUFJAHR,2007,year
4B0W1X6Z,,PRA,H,
4B0W1X6Z,,TEXT,Fahrbahnübergang undicht,text
4B0W1X6Z,,BILD,\BETON AM FLÜGEL VERFÄRBT.JPG,
4B0W1X6Z,,KONT_JN,2,
4B0W1X6Z,,NOT_KONST,0,
4B0W1X6Z,,KONVERT,0,
4B0W1X6Z,,SCHAD_ID,59.0,
4B0W1X6Z,,BSP_ID,021-99,
4B0W1X6Z,,BAUTLGRUP,390021200000000,
4B0W1X6Z,,DETAILKONT,0,
MB0OD3VZ,,ID_NR,B115    0,
MB0OD3VZ,,LFDNR,3.0,
MB0OD3VZ,,BAUTEIL,130011920000000,
MB0OD3VZ,,KONTEIL,0,
MB0OD3VZ,,ZWGRUPPE,130031100000000,
MB0OD3VZ,,SCHADEN,130044320000000,
MB0OD3VZ,,MENGE_ALL,130053200000000,
MB0OD3VZ,,MENGE_DI,0,
MB0OD3VZ,,UEBERBAU,130071000000000,
MB0OD3VZ,,FELD,0,
MB0OD3VZ,,LAENGS,0,
MB0OD3VZ,,QUER,0,
MB0OD3VZ,,HOCH,0,
MB0OD3VZ,,BEWERT_D,0,
MB0OD3VZ,,BEWERT_V,0,
MB0OD3VZ,,BEWERT_S,0,
MB0OD3VZ,,S_VERAEND,0,
MB0OD3VZ,,BEMERK1,0,text
MB0OD3VZ,,BEMERK2,0,text
MB0OD3VZ,,BEMERK3,0,text
MB0OD3VZ,,BEMERK4,0,text
MB0OD3VZ,,BEMERK5,0,text
MB0OD3VZ,,BEMERK6,0,text
MB0OD3VZ,,BWNR,B115,
MB0OD3VZ,,TEIL_BWNR,0,
MB0OD3VZ,,IBWNR,B115,
MB0OD3VZ,,IDENT,MB0OD3VZ,
MB0OD3VZ,,AMT,533,text
MB0OD3VZ,,PRUFJAHR,2019,year
MB0OD3VZ,,PRA,H,
MB0OD3VZ,,TEXT, ,text
MB0OD3VZ,,BILD,\BETON AN EINEM PFEILER GROBPORIG.JPG,
MB0OD3VZ,,KONT_JN,2,
MB0OD3VZ,,NOT_KONST,0,
MB0OD3VZ,,KONVERT,0,
MB0OD3VZ,,SCHAD_ID,47.0,
MB0OD3VZ,,BSP_ID,021-01,
MB0OD3VZ,,BAUTLGRUP,390021200000000,
MB0OD3VZ,,DETAILKONT,0,
MB0OC3XF,,ID_NR,B115    0,
MB0OC3XF,,LFDNR,2.0,
MB0OC3XF,,BAUTEIL,130011920000000,
MB0OC3XF,,KONTEIL,130021528230000,
MB0OC3XF,,ZWGRUPPE,130031300000000,
MB0OC3XF,,SCHADEN,130044213000000,
MB0OC3XF,,MENGE_ALL,130051400000000,
MB0OC3XF,,MENGE_DI,130066100000000,
MB0OC3XF,,MENGE_DI_M,     6,
MB0OC3XF,,UEBERBAU,130071000000000,
MB0OC3XF,,FELD,0,
MB0OC3XF,,LAENGS,0,
MB0OC3XF,,QUER,0,
MB0OC3XF,,HOCH,0,
MB0OC3XF,,BEWERT_D,1,
MB0OC3XF,,BEWERT_V,0,
MB0OC3XF,,BEWERT_S,0,
MB0OC3XF,,S_VERAEND,0,
MB0OC3XF,,BEMERK1,0,text
MB0OC3XF,,BEMERK2,0,text
MB0OC3XF,,BEMERK3,0,text
MB0OC3XF,,BEMERK4,0,text
MB0OC3XF,,BEMERK5,0,text
MB0OC3XF,,BEMERK6,0,text
MB0OC3XF,,BWNR,B115,
MB0OC3XF,,TEIL_BWNR,0,
MB0OC3XF,,IBWNR,B115,
MB0OC3XF,,IDENT,MB0OC3XF,
MB0OC3XF,,AMT,533,text
MB0OC3XF,,PRUFJAHR,2019,year
MB0OC3XF,,PRA,H,
MB0OC3XF,,TEXT,"auf den Pfeilern. , Maßnahme {2}",text
MB0OC3XF,,BILD,\LAGERPLATTEN ANGEROSTET.JPG,
MB0OC3XF,,KONT_JN,2,
MB0OC3XF,,NOT_KONST,0,
MB0OC3XF,,KONVERT,0,
MB0OC3XF,,SCHAD_ID,42.0,
MB0OC3XF,,BSP_ID,214-08,
MB0OC3XF,,BAUTLGRUP,390022150000000,
MB0OC3XF,,DETAILKONT,0,
QM0O899X,,ID_NR,B115    0,
QM0O899X,,LFDNR,72.0,
QM0O899X,,BAUTEIL,130011150000000,
QM0O899X,,KONTEIL,130021833000000,
QM0O899X,,ZWGRUPPE,130031100000000,
QM0O899X,,SCHADEN,130043321000000,
QM0O899X,,MENGE_ALL,130053500000000,
QM0O899X,,MENGE_DI,0,
QM0O899X,,UEBERBAU,130071000000000,
QM0O899X,,FELD,130082100000000,
QM0O899X,,FELD_M,1.0,
QM0O899X,,LAENGS,130093400000000,
QM0O899X,,QUER,130101100000000,
QM0O899X,,HOCH,0,
QM0O899X,,BEWERT_D,1,
QM0O899X,,BEWERT_V,0,
QM0O899X,,BEWERT_S,0,
QM0O899X,,S_VERAEND,0,
QM0O899X,,BEMERK1,0,text
QM0O899X,,BEMERK2,0,text
QM0O899X,,BEMERK3,0,text
QM0O899X,,BEMERK4,0,text
QM0O899X,,BEMERK5,0,text
QM0O899X,,BEMERK6,0,text
